Achieved_Revenue,Optimal_Revenue,Difference,Run_Number
76104.0,100218.0,24.1,663
81114.0,112332.0,27.8,664
76260.0,76260.0,0.0,665
81468.0,120000.0,32.1,666
73752.0,90516.0,18.5,667
76860.0,109302.0,29.7,668
82986.0,112038.0,25.9,669
77616.0,112362.0,30.9,670
56952.0,56952.0,0.0,671
83784.0,115644.0,27.6,672
74856.0,116796.0,35.9,673
87030.0,116244.0,25.1,674
81498.0,117432.0,30.6,675
77478.0,98148.0,21.1,676
73416.0,83124.0,11.7,677
72660.0,73404.0,1.0,678
77004.0,103428.0,25.5,679
75720.0,108060.0,29.9,680
73968.0,96792.0,23.6,681
80160.0,110238.0,27.3,682
74256.0,103530.0,28.3,683
73152.0,73992.0,1.1,684
77580.0,103488.0,25.0,685
74544.0,109338.0,31.8,686
77160.0,88308.0,12.6,687
84588.0,115230.0,26.6,688
80394.0,118038.0,31.9,689
75180.0,92544.0,18.8,690
73968.0,95640.0,22.7,691
76632.0,120000.0,36.1,692
83358.0,105132.0,20.7,693
76794.0,103890.0,26.1,694
74088.0,101796.0,27.2,695
73608.0,82956.0,11.3,696
76728.0,105750.0,27.4,697
76476.0,104124.0,26.6,698
84924.0,109176.0,22.2,699
74376.0,107328.0,30.7,700
76104.0,88452.0,14.0,701
78024.0,86904.0,10.2,702
81630.0,97074.0,15.9,703
81972.0,117792.0,30.4,704
79344.0,105114.0,24.5,705
77616.0,99936.0,22.3,706
78168.0,81432.0,4.0,707
82902.0,119940.0,30.9,708
75144.0,115218.0,34.8,709
77910.0,84228.0,7.5,710
73344.0,80460.0,8.8,711
74424.0,103998.0,28.4,712
75144.0,103794.0,27.6,713
76116.0,100026.0,23.9,714
76020.0,101970.0,25.4,715
73680.0,90204.0,18.3,716
77976.0,92328.0,15.5,717
81294.0,86832.0,6.4,718
74640.0,115254.0,35.2,719
93780.0,109770.0,14.6,720
90948.0,105054.0,13.4,721
89634.0,112452.0,20.3,722
76608.0,101550.0,24.6,723
50964.0,50964.0,0.0,724
73728.0,83568.0,11.8,725
76896.0,94134.0,18.3,726
80694.0,120000.0,32.8,727
86088.0,112836.0,23.7,728
77136.0,109398.0,29.5,729
73968.0,98982.0,25.3,730
77076.0,115068.0,33.0,731
77400.0,115758.0,33.1,732
80112.0,112128.0,28.6,733
53148.0,55020.0,3.4,734
73776.0,97182.0,24.1,735
76212.0,97848.0,22.1,736
80760.0,105882.0,23.7,737
76554.0,81576.0,6.2,738
76992.0,108786.0,29.2,739
76584.0,105108.0,27.1,740
81264.0,113826.0,28.6,741
89790.0,119088.0,24.6,742
79548.0,89988.0,11.6,743
63996.0,67692.0,5.5,744
57972.0,62292.0,6.9,745
75180.0,102054.0,26.3,746
85944.0,120000.0,28.4,747
80094.0,102960.0,22.2,748
64764.0,66924.0,3.2,749
82716.0,106566.0,22.4,750
73200.0,74280.0,1.5,751
74916.0,79176.0,5.4,752
80304.0,111822.0,28.2,753
76440.0,105600.0,27.6,754
86412.0,112728.0,23.3,755
73344.0,79524.0,7.8,756
75744.0,96924.0,21.9,757
73320.0,78480.0,6.6,758
77292.0,102036.0,24.3,759
74064.0,98574.0,24.9,760
74760.0,112542.0,33.6,761
75012.0,97362.0,23.0,762
76932.0,106380.0,27.7,763
78288.0,100452.0,22.1,764
74760.0,112584.0,33.6,765
70566.0,74952.0,5.9,766
74928.0,119112.0,37.1,767
76902.0,92064.0,16.5,768
77856.0,109572.0,28.9,769
74184.0,104256.0,28.8,770
79104.0,102828.0,23.1,771
77484.0,100056.0,22.6,772
75120.0,99786.0,24.7,773
80718.0,105474.0,23.5,774
73560.0,90840.0,19.0,775
74208.0,100026.0,25.8,776
75708.0,102012.0,25.8,777
75120.0,120000.0,37.4,778
81048.0,102462.0,20.9,779
82116.0,103032.0,20.3,780
68232.0,71976.0,5.2,781
84012.0,120000.0,30.0,782
87744.0,120000.0,26.9,783
83436.0,116310.0,28.3,784
74352.0,106656.0,30.3,785
76314.0,84324.0,9.5,786
74040.0,82188.0,9.9,787
80286.0,98406.0,18.4,788
79350.0,97212.0,18.4,789
79692.0,92664.0,14.0,790
82500.0,113730.0,27.5,791
11568.0,11568.0,0.0,792
77208.0,82536.0,6.5,793
75840.0,85272.0,11.1,794
81966.0,101808.0,19.5,795
76320.0,87624.0,12.9,796
76368.0,109902.0,30.5,797
73512.0,87168.0,15.7,798
60132.0,62832.0,4.3,799
82116.0,107886.0,23.9,800
64356.0,65064.0,1.1,801
77352.0,100956.0,23.4,802
77532.0,96864.0,20.0,803
83460.0,98316.0,15.1,804
73680.0,99942.0,26.3,805
77886.0,98082.0,20.6,806
74184.0,104994.0,29.3,807
75174.0,97608.0,23.0,808
63624.0,63624.0,0.0,809
74712.0,111432.0,33.0,810
80052.0,107736.0,25.7,811
75864.0,98388.0,22.9,812
65832.0,67392.0,2.3,813
75612.0,99708.0,24.2,814
76716.0,87312.0,12.1,815
78822.0,119940.0,34.3,816
65724.0,65724.0,0.0,817
76044.0,105756.0,28.1,818
76224.0,99648.0,23.5,819
76122.0,98214.0,22.5,820
74016.0,93060.0,20.5,821
79884.0,120000.0,33.4,822
82158.0,104190.0,21.1,823
81864.0,107022.0,23.5,824
73992.0,98712.0,25.0,825
75672.0,102612.0,26.3,826
76332.0,90516.0,15.7,827
75888.0,120000.0,36.8,828
39132.0,40356.0,3.0,829
73968.0,95688.0,22.7,830
87300.0,116010.0,24.7,831
76500.0,93690.0,18.3,832
74844.0,87276.0,14.2,833
75360.0,120000.0,37.2,834
74556.0,85050.0,12.3,835
74904.0,97896.0,23.5,836
